i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,0.38,,,,,,,,,,,,,,,,,,
2,0.38,1.13,,,,,,,,,,,,,,,,,
3,0.38,1.13,1.95,,,,,,,,,,,,,,,,
4,0.38,1.13,1.95,2.80,,,,,,,,,,,,,,,
5,0.38,1.13,1.95,2.80,3.66,,,,,,,,,,,,,,
6,0.38,1.13,1.95,2.80,3.66,4.53,,,,,,,,,,,,,
7,0.38,1.13,1.95,2.80,3.66,4.53,5.42,,,,,,,,,,,,
8,0.38,1.13,1.95,2.80,3.66,4.53,5.42,6.31,,,,,,,,,,,
9,0.38,1.13,1.95,2.80,3.66,4.53,5.42,6.31,7.21,,,,,,,,,,
10,0.38,1.13,1.95,2.80,3.66,4.53,5.42,6.31,7.21,8.11,,,,,,,,,
11,0.38,1.13,1.95,2.80,3.66,4.53,5.42,6.31,7.21,8.11,9.02,,,,,,,,
12,0.38,1.13,1.95,2.80,3.66,4.53,5.42,6.31,7.21,8.11,9.02,9.93,,,,,,,
13,0.38,1.13,1.95,2.80,3.66,4.53,5.42,6.31,7.21,8.11,9.02,9.93,10.84,,,,,,
14,0.38,1.13,1.95,2.80,3.66,4.53,5.42,6.31,7.21,8.11,9.01,9.93,10.84,11.76,,,,,
15,0.38,1.13,1.95,2.79,3.66,4.53,5.42,6.31,7.20,8.11,9.01,9.92,10.84,11.76,12.68,,,,
16,0.38,1.13,1.95,2.79,3.65,4.53,5.41,6.30,7.20,8.10,9.01,9.92,10.83,11.75,12.67,13.59,,,
17,0.37,1.12,1.94,2.78,3.64,4.51,5.40,6.29,7.18,8.09,8.99,9.90,10.81,11.73,12.65,13.57,14.49,,
18,0.34,1.08,1.89,2.72,3.58,4.44,5.32,6.21,7.10,8.00,8.90,9.81,10.72,11.63,12.55,13.47,14.39,15.31,
19,0.24,0.90,1.65,2.45,3.27,4.11,4.96,5.82,6.70,7.57,8.46,9.35,10.25,11.14,12.05,12.95,13.86,14.77,15.69
