i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,6.36,,,,,,,,,,,,,,,,,,,
2,6.02,6.46,,,,,,,,,,,,,,,,,,
3,5.68,6.12,6.45,,,,,,,,,,,,,,,,,
4,5.34,5.77,6.11,6.43,,,,,,,,,,,,,,,,
5,5.00,5.43,5.77,6.08,6.39,,,,,,,,,,,,,,,
6,4.66,5.09,5.42,5.74,6.05,6.34,,,,,,,,,,,,,,
7,4.32,4.75,5.08,5.40,5.71,6.00,6.29,,,,,,,,,,,,,
8,3.97,4.41,4.74,5.06,5.37,5.66,5.95,6.23,,,,,,,,,,,,
9,3.63,4.07,4.40,4.72,5.02,5.32,5.60,5.88,6.16,,,,,,,,,,,
10,3.29,3.73,4.06,4.38,4.68,4.98,5.26,5.54,5.82,6.09,,,,,,,,,,
11,2.95,3.39,3.72,4.04,4.34,4.64,4.92,5.20,5.48,5.75,6.02,,,,,,,,,
12,2.61,3.04,3.38,3.70,4.00,4.29,4.58,4.86,5.14,5.41,5.67,5.94,,,,,,,,
13,2.27,2.70,3.04,3.35,3.66,3.95,4.24,4.52,4.79,5.07,5.33,5.60,5.86,,,,,,,
14,1.93,2.36,2.69,3.01,3.32,3.61,3.90,4.18,4.45,4.72,4.99,5.25,5.52,5.77,,,,,,
15,1.58,2.02,2.35,2.67,2.98,3.27,3.56,3.84,4.11,4.38,4.65,4.91,5.17,5.43,5.69,,,,,
16,1.24,1.68,2.01,2.33,2.63,2.93,3.21,3.49,3.77,4.04,4.30,4.57,4.83,5.09,5.34,5.60,,,,
17,0.90,1.34,1.67,1.98,2.29,2.58,2.86,3.14,3.42,3.69,3.95,4.21,4.48,4.73,4.99,5.24,5.49,,,
18,0.57,0.99,1.31,1.62,1.92,2.21,2.49,2.76,3.04,3.30,3.57,3.83,4.08,4.34,4.59,4.84,5.09,5.34,,
19,0.24,0.63,0.93,1.21,1.49,1.76,2.03,2.29,2.54,2.80,3.05,3.30,3.55,3.79,4.04,4.28,4.52,4.76,5.00,
20,0.00,0.26,0.46,0.66,0.86,1.06,1.26,1.46,1.66,1.86,2.06,2.26,2.46,2.66,2.86,3.06,3.26,3.46,3.66,3.86
