i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,3.06,,,,,,,,,,,,,,,,,,,
2,2.90,3.13,,,,,,,,,,,,,,,,,,
3,2.74,2.96,3.22,,,,,,,,,,,,,,,,,
4,2.57,2.80,3.06,3.30,,,,,,,,,,,,,,,,
5,2.41,2.64,2.89,3.14,3.38,,,,,,,,,,,,,,,
6,2.24,2.47,2.73,2.97,3.21,3.45,,,,,,,,,,,,,,
7,2.08,2.31,2.56,2.81,3.05,3.29,3.52,,,,,,,,,,,,,
8,1.91,2.14,2.40,2.65,2.89,3.12,3.36,3.59,,,,,,,,,,,,
9,1.75,1.98,2.24,2.48,2.72,2.96,3.19,3.42,3.65,,,,,,,,,,,
10,1.59,1.81,2.07,2.32,2.56,2.79,3.03,3.26,3.49,3.72,,,,,,,,,,
11,1.42,1.65,1.91,2.15,2.39,2.63,2.86,3.10,3.32,3.55,3.78,,,,,,,,,
12,1.26,1.49,1.74,1.99,2.23,2.47,2.70,2.93,3.16,3.39,3.61,3.84,,,,,,,,
13,1.09,1.32,1.58,1.82,2.07,2.30,2.54,2.77,3.00,3.22,3.45,3.67,3.90,,,,,,,
14,0.93,1.16,1.41,1.66,1.90,2.14,2.37,2.60,2.83,3.06,3.28,3.51,3.73,3.96,,,,,,
15,0.76,0.99,1.25,1.50,1.74,1.97,2.21,2.44,2.67,2.89,3.12,3.35,3.57,3.80,4.00,,,,,
16,0.60,0.83,1.09,1.33,1.57,1.81,2.04,2.27,2.50,2.73,2.96,3.18,3.40,3.63,3.84,4.12,,,,
17,0.44,0.67,0.92,1.17,1.41,1.64,1.88,2.11,2.34,2.57,2.79,3.02,3.24,3.47,3.68,3.98,3.38,,,
18,0.27,0.50,0.76,1.00,1.24,1.48,1.71,1.94,2.17,2.40,2.62,2.84,3.07,3.29,3.51,3.83,3.59,1.98,,
19,0.12,0.33,0.58,0.82,1.06,1.29,1.52,1.74,1.97,2.19,2.41,2.64,2.86,3.08,3.30,3.59,3.71,3.21,-83.89,
20,0.00,0.15,0.35,0.55,0.75,0.95,1.15,1.35,1.55,1.75,1.95,2.15,2.35,2.55,2.75,2.95,3.15,3.35,3.55,3.75
