i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,6.46,,,,,,,,,,,,,,,,,,,
2,6.12,6.57,,,,,,,,,,,,,,,,,,
3,5.78,6.22,6.56,,,,,,,,,,,,,,,,,
4,5.43,5.88,6.21,6.53,,,,,,,,,,,,,,,,
5,5.09,5.53,5.87,6.19,6.49,,,,,,,,,,,,,,,
6,4.74,5.19,5.52,5.84,6.15,6.44,,,,,,,,,,,,,,
7,4.40,4.84,5.18,5.50,5.80,6.10,6.39,,,,,,,,,,,,,
8,4.05,4.50,4.83,5.15,5.46,5.75,6.04,6.32,,,,,,,,,,,,
9,3.71,4.15,4.49,4.81,5.11,5.41,5.70,5.98,6.25,,,,,,,,,,,
10,3.36,3.81,4.15,4.46,4.77,5.06,5.35,5.63,5.91,6.18,,,,,,,,,,
11,3.02,3.47,3.80,4.12,4.42,4.72,5.01,5.29,5.56,5.83,6.10,,,,,,,,,
12,2.67,3.12,3.46,3.77,4.08,4.37,4.66,4.94,5.22,5.49,5.76,6.02,,,,,,,,
13,2.33,2.78,3.11,3.43,3.74,4.03,4.32,4.60,4.87,5.14,5.41,5.68,5.94,,,,,,,
14,1.98,2.43,2.77,3.09,3.39,3.69,3.97,4.25,4.53,4.80,5.07,5.33,5.59,5.85,,,,,,
15,1.64,2.09,2.42,2.74,3.05,3.34,3.63,3.91,4.18,4.45,4.72,4.99,5.25,5.51,5.76,,,,,
16,1.29,1.74,2.07,2.39,2.70,2.99,3.28,3.56,3.84,4.11,4.37,4.64,4.90,5.16,5.42,5.67,,,,
17,0.95,1.39,1.73,2.04,2.35,2.64,2.93,3.21,3.48,3.75,4.02,4.28,4.54,4.80,5.06,5.31,5.56,,,
18,0.61,1.04,1.37,1.68,1.98,2.26,2.55,2.82,3.09,3.36,3.62,3.89,4.14,4.40,4.65,4.91,5.16,5.41,,
19,0.27,0.68,0.98,1.26,1.54,1.81,2.07,2.33,2.59,2.85,3.10,3.35,3.60,3.84,4.09,4.33,4.57,4.81,5.05,
20,0.00,0.29,0.49,0.69,0.89,1.09,1.29,1.49,1.69,1.89,2.09,2.29,2.49,2.69,2.89,3.09,3.29,3.49,3.69,3.89
