i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,3.02,,,,,,,,,,,,,,,,,,,
2,2.85,3.04,,,,,,,,,,,,,,,,,,
3,2.69,2.88,3.14,,,,,,,,,,,,,,,,,
4,2.52,2.71,2.97,3.22,,,,,,,,,,,,,,,,
5,2.36,2.55,2.81,3.06,3.30,,,,,,,,,,,,,,,
6,2.20,2.38,2.65,2.90,3.14,3.38,,,,,,,,,,,,,,
7,2.03,2.22,2.48,2.73,2.97,3.21,3.45,,,,,,,,,,,,,
8,1.87,2.06,2.32,2.57,2.81,3.05,3.28,3.51,,,,,,,,,,,,
9,1.70,1.89,2.15,2.40,2.65,2.88,3.12,3.35,3.58,,,,,,,,,,,
10,1.54,1.73,1.99,2.24,2.48,2.72,2.95,3.19,3.42,3.64,,,,,,,,,,
11,1.38,1.56,1.82,2.07,2.32,2.55,2.79,3.02,3.25,3.48,3.71,,,,,,,,,
12,1.21,1.40,1.66,1.91,2.15,2.39,2.63,2.86,3.09,3.31,3.54,3.77,,,,,,,,
13,1.05,1.23,1.50,1.75,1.99,2.23,2.46,2.69,2.92,3.15,3.38,3.60,3.83,,,,,,,
14,0.88,1.07,1.33,1.58,1.82,2.06,2.30,2.53,2.76,2.99,3.21,3.44,3.66,3.90,,,,,,
15,0.72,0.91,1.17,1.42,1.66,1.90,2.13,2.36,2.59,2.82,3.05,3.27,3.50,3.74,3.94,,,,,
16,0.55,0.74,1.00,1.25,1.50,1.73,1.97,2.20,2.43,2.66,2.88,3.11,3.33,3.57,3.77,4.06,,,,
17,0.39,0.58,0.84,1.09,1.33,1.57,1.80,2.04,2.26,2.49,2.72,2.94,3.17,3.39,3.61,3.90,3.81,,,
18,0.23,0.41,0.67,0.92,1.16,1.40,1.64,1.87,2.10,2.32,2.55,2.77,3.00,3.22,3.44,3.74,3.79,3.96,,
19,0.08,0.25,0.50,0.74,0.98,1.21,1.44,1.67,1.90,2.12,2.34,2.57,2.79,3.01,3.24,3.49,3.68,3.90,-33.23,
20,0.00,0.09,0.29,0.49,0.69,0.89,1.09,1.29,1.49,1.69,1.89,2.09,2.29,2.49,2.69,2.89,3.09,3.29,3.49,3.69
