i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,8.07,,,,,,,,,,,,,,,,,,,
2,7.63,8.27,,,,,,,,,,,,,,,,,,
3,7.20,7.84,8.40,,,,,,,,,,,,,,,,,
4,6.77,7.41,7.97,8.50,,,,,,,,,,,,,,,,
5,6.34,6.98,7.54,8.07,8.58,,,,,,,,,,,,,,,
6,5.91,6.55,7.11,7.64,8.15,8.65,,,,,,,,,,,,,,
7,5.48,6.12,6.68,7.21,7.72,8.22,8.71,,,,,,,,,,,,,
8,5.05,5.69,6.25,6.78,7.29,7.79,8.28,8.77,,,,,,,,,,,,
9,4.62,5.26,5.82,6.34,6.86,7.36,7.85,8.33,8.81,,,,,,,,,,,
10,4.19,4.83,5.39,5.91,6.43,6.93,7.42,7.90,8.38,8.86,,,,,,,,,,
11,3.76,4.40,4.95,5.48,6.00,6.50,6.99,7.47,7.95,8.43,8.90,,,,,,,,,
12,3.33,3.97,4.52,5.05,5.57,6.07,6.56,7.04,7.52,8.00,8.47,8.94,,,,,,,,
13,2.90,3.54,4.09,4.62,5.14,5.64,6.13,6.61,7.09,7.57,8.04,8.51,8.97,,,,,,,
14,2.47,3.11,3.66,4.19,4.71,5.21,5.70,6.18,6.66,7.14,7.61,8.08,8.54,9.00,,,,,,
15,2.04,2.68,3.23,3.76,4.27,4.78,5.27,5.75,6.23,6.71,7.18,7.65,8.11,8.57,9.03,,,,,
16,1.61,2.25,2.80,3.33,3.84,4.34,4.84,5.32,5.80,6.28,6.75,7.22,7.68,8.14,8.60,9.06,,,,
17,1.18,1.82,2.37,2.90,3.41,3.91,4.40,4.89,5.37,5.84,6.31,6.78,7.25,7.71,8.17,8.63,9.08,,,
18,0.75,1.38,1.94,2.46,2.97,3.47,3.96,4.45,4.92,5.40,5.87,6.33,6.80,7.26,7.72,8.18,8.63,9.09,,
19,0.34,0.94,1.47,1.98,2.48,2.96,3.44,3.92,4.39,4.85,5.32,5.78,6.23,6.69,7.14,7.59,8.04,8.49,8.94,
20,0.00,0.43,0.83,1.23,1.63,2.03,2.43,2.83,3.23,3.63,4.03,4.43,4.83,5.23,5.63,6.03,6.43,6.83,7.23,7.63
