i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,0.49,,,,,,,,,,,,,,,,,,
2,0.49,1.46,,,,,,,,,,,,,,,,,
3,0.49,1.46,2.44,,,,,,,,,,,,,,,,
4,0.49,1.46,2.44,3.41,,,,,,,,,,,,,,,
5,0.49,1.46,2.44,3.41,4.38,,,,,,,,,,,,,,
6,0.49,1.46,2.44,3.41,4.38,5.36,,,,,,,,,,,,,
7,0.49,1.46,2.44,3.41,4.38,5.36,6.34,,,,,,,,,,,,
8,0.49,1.46,2.44,3.41,4.38,5.36,6.34,7.32,,,,,,,,,,,
9,0.49,1.46,2.44,3.41,4.38,5.36,6.34,7.32,8.30,,,,,,,,,,
10,0.49,1.46,2.44,3.41,4.38,5.36,6.34,7.32,8.30,9.29,,,,,,,,,
11,0.49,1.46,2.44,3.41,4.38,5.36,6.34,7.32,8.30,9.29,10.27,,,,,,,,
12,0.49,1.46,2.44,3.41,4.38,5.36,6.34,7.32,8.30,9.29,10.27,11.25,,,,,,,
13,0.49,1.46,2.44,3.41,4.38,5.36,6.34,7.32,8.30,9.29,10.27,11.25,12.23,,,,,,
14,0.49,1.46,2.44,3.41,4.38,5.36,6.34,7.32,8.30,9.29,10.27,11.25,12.23,13.22,,,,,
15,0.49,1.46,2.44,3.41,4.38,5.36,6.34,7.32,8.30,9.29,10.27,11.25,12.23,13.22,14.20,,,,
16,0.49,1.46,2.43,3.40,4.38,5.36,6.34,7.32,8.30,9.28,10.27,11.25,12.23,13.21,14.20,15.19,,,
17,0.49,1.46,2.43,3.40,4.38,5.36,6.33,7.32,8.29,9.28,10.26,11.24,12.22,13.21,14.20,15.18,16.16,,
18,0.47,1.44,2.40,3.37,4.34,5.32,6.30,7.28,8.26,9.23,10.21,11.20,12.18,13.16,14.14,15.12,16.11,17.09,
19,0.38,1.26,2.19,3.12,4.07,5.03,5.98,6.94,7.91,8.87,9.84,10.80,11.77,12.74,13.71,14.69,15.66,16.64,17.61
