i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,9.85,,,,,,,,,,,,,,,,,,,
2,9.33,10.18,,,,,,,,,,,,,,,,,,
3,8.82,9.67,10.25,,,,,,,,,,,,,,,,,
4,8.30,9.15,9.73,10.29,,,,,,,,,,,,,,,,
5,7.79,8.63,9.22,9.78,10.32,,,,,,,,,,,,,,,
6,7.27,8.12,8.70,9.26,9.80,10.33,,,,,,,,,,,,,,
7,6.75,7.60,8.19,8.75,9.29,9.82,10.33,,,,,,,,,,,,,
8,6.24,7.09,7.67,8.23,8.77,9.30,9.82,10.33,,,,,,,,,,,,
9,5.72,6.57,7.15,7.71,8.25,8.78,9.30,9.81,10.32,,,,,,,,,,,
10,5.21,6.05,6.64,7.20,7.74,8.27,8.79,9.30,9.80,10.30,,,,,,,,,,
11,4.69,5.54,6.12,6.68,7.22,7.75,8.27,8.78,9.28,9.78,10.27,,,,,,,,,
12,4.17,5.02,5.61,6.16,6.71,7.24,7.75,8.26,8.77,9.27,9.76,10.25,,,,,,,,
13,3.66,4.51,5.09,5.65,6.19,6.72,7.24,7.75,8.25,8.75,9.24,9.73,10.22,,,,,,,
14,3.14,3.99,4.57,5.13,5.67,6.20,6.72,7.23,7.74,8.23,8.73,9.21,9.70,10.18,,,,,,
15,2.63,3.47,4.06,4.62,5.16,5.69,6.21,6.72,7.22,7.72,8.21,8.70,9.18,9.67,10.14,,,,,
16,2.11,2.96,3.54,4.10,4.64,5.17,5.69,6.20,6.70,7.20,7.69,8.18,8.67,9.15,9.63,10.10,,,,
17,1.59,2.44,3.02,3.58,4.12,4.65,5.17,5.68,6.18,6.68,7.17,7.66,8.15,8.63,9.11,9.58,10.05,,,
18,1.08,1.92,2.50,3.05,3.59,4.11,4.63,5.14,5.64,6.13,6.62,7.11,7.60,8.08,8.55,9.03,9.50,9.97,,
19,0.53,1.36,1.91,2.44,2.96,3.46,3.96,4.46,4.94,5.43,5.91,6.38,6.86,7.33,7.80,8.26,8.73,9.19,9.65,
20,0.00,0.65,1.05,1.45,1.85,2.25,2.65,3.05,3.45,3.85,4.25,4.65,5.05,5.45,5.85,6.25,6.65,7.05,7.45,7.85
