i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,4.26,,,,,,,,,,,,,,,,,,,
2,4.02,4.28,,,,,,,,,,,,,,,,,,
3,3.79,4.05,4.26,,,,,,,,,,,,,,,,,
4,3.55,3.82,4.03,4.22,,,,,,,,,,,,,,,,
5,3.32,3.58,3.79,3.99,4.17,,,,,,,,,,,,,,,
6,3.09,3.35,3.56,3.75,3.93,4.11,,,,,,,,,,,,,,
7,2.85,3.11,3.32,3.52,3.70,3.87,4.04,,,,,,,,,,,,,
8,2.62,2.88,3.09,3.28,3.46,3.64,3.81,3.97,,,,,,,,,,,,
9,2.38,2.64,2.85,3.05,3.23,3.40,3.57,3.74,3.90,,,,,,,,,,,
10,2.15,2.41,2.62,2.81,3.00,3.17,3.34,3.50,3.66,3.82,,,,,,,,,,
11,1.91,2.17,2.38,2.58,2.76,2.94,3.10,3.27,3.43,3.59,3.74,,,,,,,,,
12,1.68,1.94,2.15,2.34,2.53,2.70,2.87,3.03,3.19,3.35,3.51,3.66,,,,,,,,
13,1.44,1.70,1.91,2.11,2.29,2.47,2.63,2.80,2.96,3.12,3.27,3.42,3.57,,,,,,,
14,1.21,1.47,1.68,1.87,2.06,2.23,2.40,2.56,2.72,2.88,3.03,3.19,3.34,3.48,,,,,,
15,0.97,1.23,1.44,1.64,1.82,1.99,2.16,2.33,2.49,2.64,2.80,2.95,3.10,3.24,3.39,,,,,
16,0.74,1.00,1.21,1.40,1.58,1.76,1.92,2.09,2.25,2.40,2.56,2.71,2.86,3.00,3.15,3.29,,,,
17,0.51,0.77,0.97,1.16,1.34,1.51,1.68,1.84,1.99,2.15,2.30,2.45,2.60,2.74,2.89,3.03,3.17,,,
18,0.30,0.53,0.73,0.91,1.08,1.24,1.40,1.56,1.71,1.86,2.01,2.16,2.30,2.44,2.58,2.72,2.86,3.00,,
19,0.11,0.31,0.47,0.63,0.78,0.93,1.08,1.22,1.36,1.50,1.63,1.77,1.90,2.03,2.16,2.29,2.42,2.55,2.68,
20,0.00,0.12,0.22,0.32,0.42,0.52,0.62,0.72,0.82,0.92,1.02,1.12,1.22,1.32,1.42,1.52,1.62,1.72,1.82,1.92
