i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,1.70,,,,,,,,,,,,,,,,,,,
2,1.61,1.71,,,,,,,,,,,,,,,,,,
3,1.52,1.62,1.75,,,,,,,,,,,,,,,,,
4,1.42,1.53,1.66,1.79,,,,,,,,,,,,,,,,
5,1.33,1.43,1.57,1.70,1.82,,,,,,,,,,,,,,,
6,1.24,1.34,1.48,1.60,1.73,1.85,,,,,,,,,,,,,,
7,1.15,1.25,1.38,1.51,1.63,1.76,1.88,,,,,,,,,,,,,
8,1.05,1.15,1.29,1.42,1.54,1.66,1.78,1.90,,,,,,,,,,,,
9,0.96,1.06,1.20,1.32,1.45,1.57,1.69,1.81,1.93,,,,,,,,,,,
10,0.87,0.97,1.10,1.23,1.36,1.48,1.60,1.72,1.83,1.95,,,,,,,,,,
11,0.77,0.88,1.01,1.14,1.26,1.38,1.50,1.62,1.74,1.86,1.97,,,,,,,,,
12,0.68,0.78,0.92,1.05,1.17,1.29,1.41,1.53,1.65,1.76,1.88,2.00,,,,,,,,
13,0.59,0.69,0.82,0.95,1.08,1.20,1.32,1.44,1.55,1.67,1.79,1.91,1.93,,,,,,,
14,0.50,0.60,0.73,0.86,0.98,1.11,1.23,1.34,1.46,1.58,1.69,1.82,1.85,2.19,,,,,,
15,0.40,0.50,0.64,0.77,0.89,1.01,1.13,1.25,1.37,1.48,1.60,1.72,1.77,2.09,-3.69,,,,,
16,0.31,0.41,0.55,0.67,0.80,0.92,1.04,1.16,1.27,1.39,1.51,1.63,1.69,2.00,-2.42,-83.31,,,,
17,0.22,0.32,0.45,0.58,0.71,0.83,0.95,1.06,1.18,1.30,1.41,1.54,1.62,1.90,-1.16,-58.22,-3984.85,,,
18,0.13,0.23,0.36,0.49,0.61,0.73,0.85,0.97,1.08,1.20,1.31,1.44,1.53,1.79,0.07,-33.50,-2152.96,-22306.29,,
19,0.04,0.13,0.26,0.38,0.50,0.62,0.74,0.85,0.97,1.08,1.19,1.31,1.41,1.63,1.18,-9.69,-448.09,-5435.46,-339528.08,
20,0.00,0.05,0.15,0.25,0.35,0.45,0.55,0.65,0.75,0.85,0.95,1.05,1.15,1.25,1.35,1.45,1.55,1.65,1.75,1.85
