i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,7.02,,,,,,,,,,,,,,,,,,,
2,6.65,7.30,,,,,,,,,,,,,,,,,,
3,6.27,6.93,7.65,,,,,,,,,,,,,,,,,
4,5.90,6.55,7.27,7.97,,,,,,,,,,,,,,,,
5,5.52,6.18,6.90,7.60,8.29,,,,,,,,,,,,,,,
6,5.15,5.80,6.52,7.23,7.91,8.59,,,,,,,,,,,,,,
7,4.77,5.43,6.15,6.85,7.54,8.22,8.89,,,,,,,,,,,,,
8,4.40,5.05,5.78,6.48,7.16,7.84,8.51,9.18,,,,,,,,,,,,
9,4.02,4.68,5.40,6.10,6.79,7.47,8.14,8.80,9.47,,,,,,,,,,,
10,3.65,4.30,5.03,5.73,6.41,7.09,7.76,8.43,9.09,9.75,,,,,,,,,,
11,3.27,3.93,4.65,5.35,6.04,6.72,7.39,8.05,8.72,9.37,10.03,,,,,,,,,
12,2.90,3.55,4.28,4.98,5.66,6.34,7.01,7.68,8.34,9.00,9.65,10.31,,,,,,,,
13,2.53,3.18,3.90,4.60,5.29,5.97,6.64,7.30,7.97,8.62,9.28,9.93,10.58,,,,,,,
14,2.15,2.80,3.53,4.23,4.91,5.59,6.26,6.93,7.59,8.25,8.90,9.56,10.21,10.86,,,,,,
15,1.78,2.43,3.15,3.85,4.54,5.22,5.89,6.56,7.22,7.87,8.53,9.18,9.83,10.48,11.13,,,,,
16,1.40,2.05,2.78,3.48,4.16,4.84,5.51,6.18,6.84,7.50,8.16,8.81,9.46,10.11,10.75,11.40,,,,
17,1.03,1.68,2.40,3.10,3.79,4.47,5.14,5.81,6.47,7.13,7.78,8.43,9.08,9.73,10.38,11.02,11.67,,,
18,0.65,1.30,2.03,2.73,3.41,4.09,4.76,5.43,6.09,6.75,7.40,8.05,8.70,9.35,10.00,10.64,11.29,11.93,,
19,0.28,0.92,1.64,2.33,3.01,3.68,4.35,5.01,5.67,6.33,6.98,7.63,8.27,8.92,9.56,10.21,10.85,11.49,12.13,
20,0.00,0.48,1.08,1.68,2.28,2.88,3.48,4.08,4.68,5.28,5.88,6.48,7.08,7.68,8.28,8.88,9.48,10.08,10.68,11.28
