i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,3.38,,,,,,,,,,,,,,,,,,,
2,3.20,3.88,,,,,,,,,,,,,,,,,,
3,3.02,3.70,4.65,,,,,,,,,,,,,,,,,
4,2.84,3.53,4.47,5.41,,,,,,,,,,,,,,,,
5,2.66,3.35,4.29,5.24,6.17,,,,,,,,,,,,,,,
6,2.48,3.17,4.12,5.06,5.99,6.92,,,,,,,,,,,,,,
7,2.31,2.99,3.94,4.88,5.81,6.74,7.67,,,,,,,,,,,,,
8,2.13,2.81,3.76,4.70,5.63,6.56,7.49,8.42,,,,,,,,,,,,
9,1.95,2.63,3.58,4.52,5.45,6.38,7.31,8.24,9.16,,,,,,,,,,,
10,1.77,2.45,3.40,4.34,5.27,6.20,7.13,8.06,8.98,9.91,,,,,,,,,,
11,1.59,2.27,3.22,4.16,5.09,6.03,6.95,7.88,8.80,9.73,10.65,,,,,,,,,
12,1.41,2.09,3.04,3.98,4.91,5.85,6.77,7.70,8.63,9.55,10.47,11.39,,,,,,,,
13,1.23,1.91,2.86,3.80,4.74,5.67,6.60,7.52,8.45,9.37,10.29,11.21,12.13,,,,,,,
14,1.05,1.73,2.68,3.62,4.56,5.49,6.42,7.34,8.27,9.19,10.11,11.03,11.95,12.87,,,,,,
15,0.87,1.55,2.50,3.44,4.38,5.31,6.24,7.16,8.09,9.01,9.93,10.85,11.77,12.69,13.61,,,,,
16,0.69,1.37,2.32,3.26,4.20,5.13,6.06,6.98,7.91,8.83,9.75,10.68,11.60,12.51,13.43,14.35,,,,
17,0.51,1.19,2.14,3.08,4.02,4.95,5.88,6.80,7.73,8.65,9.57,10.50,11.42,12.34,13.25,14.17,15.09,,,
18,0.33,1.02,1.96,2.90,3.84,4.77,5.70,6.63,7.55,8.47,9.40,10.32,11.24,12.16,13.07,13.99,14.91,15.83,,
19,0.15,0.84,1.78,2.72,3.66,4.59,5.52,6.44,7.37,8.29,9.21,10.13,11.05,11.97,12.89,13.81,14.73,15.64,16.56,
20,0.00,0.61,1.51,2.41,3.31,4.21,5.11,6.01,6.91,7.81,8.71,9.61,10.51,11.41,12.31,13.21,14.11,15.01,15.91,16.81
