i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,3.49,,,,,,,,,,,,,,,,,,,
2,3.31,4.20,,,,,,,,,,,,,,,,,,
3,3.12,4.02,4.96,,,,,,,,,,,,,,,,,
4,2.94,3.83,4.78,5.72,,,,,,,,,,,,,,,,
5,2.75,3.65,4.60,5.54,6.47,,,,,,,,,,,,,,,
6,2.57,3.46,4.41,5.35,6.29,7.22,,,,,,,,,,,,,,
7,2.39,3.28,4.23,5.17,6.10,7.03,7.96,,,,,,,,,,,,,
8,2.20,3.10,4.04,4.98,5.92,6.85,7.78,8.70,,,,,,,,,,,,
9,2.02,2.91,3.86,4.80,5.73,6.67,7.59,8.52,9.45,,,,,,,,,,,
10,1.83,2.73,3.68,4.62,5.55,6.48,7.41,8.34,9.26,10.18,,,,,,,,,,
11,1.65,2.54,3.49,4.43,5.37,6.30,7.23,8.15,9.08,10.00,10.92,,,,,,,,,
12,1.46,2.36,3.31,4.25,5.18,6.11,7.04,7.97,8.89,9.82,10.74,11.66,,,,,,,,
13,1.28,2.18,3.12,4.06,5.00,5.93,6.86,7.78,8.71,9.63,10.56,11.48,12.40,,,,,,,
14,1.10,1.99,2.94,3.88,4.81,5.74,6.67,7.60,8.53,9.45,10.37,11.29,12.21,13.13,,,,,,
15,0.91,1.81,2.76,3.70,4.63,5.56,6.49,7.42,8.34,9.26,10.19,11.11,12.03,12.95,13.87,,,,,
16,0.73,1.62,2.57,3.51,4.45,5.38,6.31,7.23,8.16,9.08,10.00,10.92,11.84,12.76,13.68,14.60,,,,
17,0.54,1.44,2.39,3.33,4.26,5.19,6.12,7.05,7.97,8.90,9.82,10.74,11.66,12.58,13.50,14.42,15.34,,,
18,0.36,1.26,2.20,3.14,4.08,5.01,5.94,6.86,7.79,8.71,9.63,10.56,11.48,12.40,13.32,14.23,15.15,16.07,,
19,0.18,1.07,2.02,2.96,3.89,4.82,5.75,6.68,7.60,8.52,9.45,10.37,11.29,12.21,13.13,14.04,14.96,15.88,16.80,
20,0.00,0.83,1.73,2.63,3.53,4.43,5.33,6.23,7.13,8.03,8.93,9.83,10.73,11.63,12.53,13.43,14.33,15.23,16.13,17.03
