i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,1.24,,,,,,,,,,,,,,,,,,
2,1.24,2.28,,,,,,,,,,,,,,,,,
3,1.24,2.28,3.31,,,,,,,,,,,,,,,,
4,1.24,2.28,3.31,4.34,,,,,,,,,,,,,,,
5,1.24,2.28,3.31,4.34,5.38,,,,,,,,,,,,,,
6,1.24,2.28,3.31,4.34,5.38,6.42,,,,,,,,,,,,,
7,1.24,2.28,3.31,4.34,5.38,6.42,7.46,,,,,,,,,,,,
8,1.24,2.28,3.31,4.34,5.38,6.42,7.46,8.49,,,,,,,,,,,
9,1.24,2.28,3.31,4.34,5.38,6.42,7.46,8.49,9.53,,,,,,,,,,
10,1.24,2.28,3.31,4.34,5.38,6.42,7.46,8.49,9.53,10.55,,,,,,,,,
11,1.24,2.28,3.31,4.34,5.38,6.42,7.46,8.49,9.53,10.55,11.59,,,,,,,,
12,1.24,2.28,3.31,4.34,5.38,6.42,7.46,8.49,9.53,10.55,11.59,12.62,,,,,,,
13,1.24,2.28,3.31,4.34,5.38,6.42,7.46,8.49,9.53,10.55,11.59,12.62,13.64,,,,,,
14,1.24,2.28,3.31,4.34,5.38,6.42,7.46,8.49,9.53,10.55,11.59,12.62,13.64,14.66,,,,,
15,1.24,2.28,3.31,4.34,5.38,6.42,7.46,8.49,9.53,10.55,11.59,12.62,13.64,14.66,15.70,,,,
16,1.23,2.28,3.31,4.34,5.38,6.42,7.46,8.48,9.52,10.55,11.59,12.62,13.63,14.66,15.69,16.71,,,
17,1.22,2.28,3.29,4.33,5.37,6.41,7.45,8.47,9.51,10.54,11.57,12.60,13.62,14.65,15.68,16.70,17.73,,
18,1.16,2.21,3.21,4.25,5.28,6.30,7.33,8.37,9.39,10.43,11.45,12.47,13.49,14.52,15.54,16.57,17.59,18.61,
19,0.80,1.75,2.71,3.67,4.66,5.64,6.63,7.62,8.62,9.62,10.62,11.62,12.61,13.61,14.61,15.61,16.61,17.61,18.61
