i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,0.71,,,,,,,,,,,,,,,,,,
2,0.71,1.74,,,,,,,,,,,,,,,,,
3,0.71,1.74,2.75,,,,,,,,,,,,,,,,
4,0.71,1.74,2.75,3.77,,,,,,,,,,,,,,,
5,0.71,1.74,2.75,3.77,4.78,,,,,,,,,,,,,,
6,0.71,1.74,2.75,3.77,4.78,5.78,,,,,,,,,,,,,
7,0.71,1.74,2.75,3.77,4.78,5.78,6.79,,,,,,,,,,,,
8,0.71,1.74,2.75,3.77,4.78,5.78,6.79,7.80,,,,,,,,,,,
9,0.71,1.74,2.75,3.77,4.78,5.78,6.79,7.80,8.81,,,,,,,,,,
10,0.71,1.74,2.75,3.77,4.78,5.78,6.79,7.80,8.81,9.81,,,,,,,,,
11,0.71,1.74,2.75,3.77,4.78,5.78,6.79,7.80,8.81,9.81,10.82,,,,,,,,
12,0.71,1.74,2.75,3.77,4.78,5.78,6.79,7.80,8.81,9.81,10.82,11.83,,,,,,,
13,0.71,1.74,2.75,3.77,4.78,5.78,6.79,7.80,8.81,9.81,10.82,11.83,12.85,,,,,,
14,0.71,1.74,2.75,3.77,4.78,5.78,6.79,7.80,8.81,9.81,10.82,11.83,12.85,14.12,,,,,
15,0.71,1.74,2.75,3.77,4.78,5.78,6.79,7.80,8.81,9.81,10.82,11.83,12.85,14.02,15.00,,,,
16,0.71,1.74,2.75,3.77,4.78,5.78,6.79,7.80,8.81,9.81,10.82,11.83,12.85,14.02,15.00,15.79,,,
17,0.71,1.74,2.75,3.76,4.77,5.78,6.79,7.80,8.81,9.81,10.82,11.83,12.85,14.02,15.00,15.79,16.52,,
18,0.71,1.73,2.75,3.76,4.77,5.78,6.78,7.79,8.80,9.80,10.81,11.81,12.82,13.86,15.00,15.79,16.52,17.90,
19,0.64,1.64,2.65,3.65,4.65,5.65,6.65,7.65,8.65,9.65,10.65,11.65,12.64,13.66,14.79,15.79,16.60,17.90,18.80
