i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,1.60,,,,,,,,,,,,,,,,,,
2,1.60,2.56,,,,,,,,,,,,,,,,,
3,1.60,2.56,3.62,,,,,,,,,,,,,,,,
4,1.60,2.56,3.62,4.67,,,,,,,,,,,,,,,
5,1.60,2.56,3.62,4.67,5.72,,,,,,,,,,,,,,
6,1.60,2.56,3.62,4.67,5.72,6.76,,,,,,,,,,,,,
7,1.60,2.56,3.62,4.67,5.72,6.76,7.79,,,,,,,,,,,,
8,1.60,2.56,3.62,4.67,5.72,6.76,7.79,8.83,,,,,,,,,,,
9,1.60,2.56,3.62,4.67,5.72,6.76,7.79,8.83,9.86,,,,,,,,,,
10,1.60,2.56,3.62,4.67,5.72,6.76,7.79,8.83,9.86,10.89,,,,,,,,,
11,1.60,2.56,3.62,4.67,5.72,6.76,7.79,8.83,9.86,10.89,11.92,,,,,,,,
12,1.60,2.56,3.62,4.67,5.72,6.76,7.79,8.83,9.86,10.89,11.92,12.95,,,,,,,
13,1.60,2.56,3.62,4.67,5.72,6.76,7.79,8.83,9.86,10.89,11.92,12.95,13.97,,,,,,
14,1.60,2.56,3.62,4.67,5.72,6.76,7.79,8.83,9.86,10.89,11.92,12.95,13.97,15.00,,,,,
15,1.60,2.56,3.62,4.67,5.72,6.75,7.79,8.83,9.86,10.89,11.92,12.95,13.97,15.00,16.02,,,,
16,1.60,2.56,3.62,4.67,5.71,6.75,7.79,8.82,9.86,10.89,11.92,12.95,13.97,14.99,16.02,17.04,,,
17,1.59,2.56,3.62,4.67,5.71,6.75,7.78,8.81,9.85,10.88,11.90,12.93,13.96,14.98,16.01,17.03,18.05,,
18,1.55,2.48,3.53,4.57,5.61,6.64,7.67,8.70,9.73,10.76,11.78,12.80,13.83,14.85,15.87,16.89,17.91,18.93,
19,1.05,2.03,3.00,3.98,4.97,5.96,6.95,7.94,8.94,9.93,10.93,11.93,12.93,13.92,14.92,15.92,16.92,17.92,18.92
