i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.63,,,,,,,,,,,,,,,,,,,
2,10.07,10.94,,,,,,,,,,,,,,,,,,
3,9.50,10.38,11.08,,,,,,,,,,,,,,,,,
4,8.94,9.82,10.52,11.20,,,,,,,,,,,,,,,,
5,8.37,9.25,9.95,10.63,11.29,,,,,,,,,,,,,,,
6,7.81,8.69,9.39,10.07,10.73,11.37,,,,,,,,,,,,,,
7,7.25,8.12,8.83,9.51,10.16,10.81,11.44,,,,,,,,,,,,,
8,6.68,7.56,8.26,8.94,9.60,10.24,10.88,11.50,,,,,,,,,,,,
9,6.12,7.00,7.70,8.38,9.04,9.68,10.31,10.93,11.55,,,,,,,,,,,
10,5.55,6.43,7.14,7.81,8.47,9.12,9.75,10.37,10.98,11.59,,,,,,,,,,
11,4.99,5.87,6.57,7.25,7.91,8.55,9.18,9.81,10.42,11.03,11.63,,,,,,,,,
12,4.43,5.30,6.01,6.69,7.34,7.99,8.62,9.24,9.86,10.46,11.06,11.66,,,,,,,,
13,3.86,4.74,5.44,6.12,6.78,7.42,8.06,8.68,9.29,9.90,10.50,11.10,11.69,,,,,,,
14,3.30,4.18,4.88,5.56,6.22,6.86,7.49,8.11,8.73,9.33,9.94,10.53,11.12,11.71,,,,,,
15,2.73,3.61,4.32,4.99,5.65,6.30,6.93,7.55,8.16,8.77,9.37,9.97,10.56,11.15,11.73,,,,,
16,2.17,3.05,3.75,4.43,5.09,5.73,6.36,6.99,7.60,8.21,8.81,9.40,10.00,10.58,11.17,11.75,,,,
17,1.61,2.48,3.19,3.86,4.52,5.17,5.80,6.42,7.03,7.64,8.24,8.84,9.43,10.02,10.60,11.18,11.76,,,
18,1.05,1.92,2.62,3.29,3.95,4.59,5.22,5.84,6.45,7.06,7.66,8.25,8.84,9.43,10.01,10.59,11.17,11.75,,
19,0.47,1.31,1.99,2.65,3.28,3.91,4.53,5.13,5.73,6.33,6.92,7.50,8.09,8.67,9.24,9.82,10.39,10.95,11.52,
20,0.00,0.61,1.11,1.61,2.11,2.61,3.11,3.61,4.11,4.61,5.11,5.61,6.11,6.61,7.11,7.61,8.11,8.61,9.11,9.61
