i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.15,,,,,,,,,,,,,,,,,,,
2,9.62,10.50,,,,,,,,,,,,,,,,,,
3,9.08,9.96,10.65,,,,,,,,,,,,,,,,,
4,8.55,9.43,10.11,10.77,,,,,,,,,,,,,,,,
5,8.01,8.89,9.58,10.24,10.88,,,,,,,,,,,,,,,
6,7.48,8.36,9.04,9.70,10.35,10.98,,,,,,,,,,,,,,
7,6.94,7.82,8.51,9.17,9.81,10.44,11.06,,,,,,,,,,,,,
8,6.41,7.29,7.97,8.63,9.28,9.91,10.52,11.13,,,,,,,,,,,,
9,5.87,6.75,7.44,8.10,8.74,9.37,9.99,10.60,11.20,,,,,,,,,,,
10,5.34,6.22,6.90,7.56,8.21,8.83,9.45,10.06,10.66,11.26,,,,,,,,,,
11,4.80,5.68,6.37,7.03,7.67,8.30,8.92,9.53,10.13,10.73,11.32,,,,,,,,,
12,4.26,5.14,5.83,6.49,7.14,7.76,8.38,8.99,9.59,10.19,10.78,11.37,,,,,,,,
13,3.73,4.61,5.30,5.96,6.60,7.23,7.85,8.46,9.06,9.66,10.25,10.83,11.42,,,,,,,
14,3.19,4.07,4.76,5.42,6.06,6.69,7.31,7.92,8.52,9.12,9.71,10.30,10.88,11.46,,,,,,
15,2.66,3.54,4.23,4.89,5.53,6.16,6.78,7.39,7.99,8.59,9.18,9.76,10.35,10.93,11.51,,,,,
16,2.12,3.00,3.69,4.35,4.99,5.62,6.24,6.85,7.45,8.05,8.64,9.23,9.81,10.39,10.97,11.54,,,,
17,1.59,2.47,3.15,3.81,4.46,5.09,5.70,6.31,6.92,7.51,8.10,8.69,9.27,9.85,10.43,11.01,11.58,,,
18,1.06,1.93,2.61,3.27,3.91,4.54,5.16,5.76,6.36,6.96,7.55,8.14,8.72,9.30,9.88,10.45,11.02,11.59,,
19,0.50,1.36,2.02,2.66,3.29,3.90,4.51,5.10,5.70,6.28,6.86,7.44,8.02,8.59,9.16,9.73,10.29,10.85,11.42,
20,0.00,0.66,1.16,1.66,2.16,2.66,3.16,3.66,4.16,4.66,5.16,5.66,6.16,6.66,7.16,7.66,8.16,8.66,9.16,9.66
