i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,1.11,,,,,,,,,,,,,,,,,,
2,1.11,2.18,,,,,,,,,,,,,,,,,
3,1.11,2.18,3.18,,,,,,,,,,,,,,,,
4,1.11,2.18,3.18,4.21,,,,,,,,,,,,,,,
5,1.11,2.18,3.18,4.21,5.24,,,,,,,,,,,,,,
6,1.11,2.18,3.18,4.21,5.24,6.28,,,,,,,,,,,,,
7,1.11,2.18,3.18,4.21,5.24,6.28,7.31,,,,,,,,,,,,
8,1.11,2.18,3.18,4.21,5.24,6.28,7.31,8.35,,,,,,,,,,,
9,1.11,2.18,3.18,4.21,5.24,6.28,7.31,8.35,9.38,,,,,,,,,,
10,1.11,2.18,3.18,4.21,5.24,6.28,7.31,8.35,9.38,10.41,,,,,,,,,
11,1.11,2.18,3.18,4.21,5.24,6.28,7.31,8.35,9.38,10.41,11.44,,,,,,,,
12,1.11,2.18,3.18,4.21,5.24,6.28,7.31,8.35,9.38,10.41,11.44,12.47,,,,,,,
13,1.11,2.18,3.18,4.21,5.24,6.28,7.31,8.35,9.38,10.41,11.44,12.47,13.50,,,,,,
14,1.11,2.18,3.18,4.21,5.24,6.28,7.31,8.35,9.38,10.41,11.44,12.47,13.50,14.53,,,,,
15,1.11,2.18,3.18,4.21,5.24,6.28,7.31,8.35,9.38,10.41,11.44,12.47,13.50,14.53,15.55,,,,
16,1.11,2.18,3.18,4.21,5.24,6.28,7.31,8.35,9.38,10.41,11.44,12.47,13.50,14.52,15.55,16.57,,,
17,1.09,2.18,3.17,4.20,5.23,6.27,7.30,8.34,9.37,10.40,11.43,12.46,13.49,14.51,15.54,16.56,17.58,,
18,1.04,2.11,3.09,4.11,5.14,6.17,7.20,8.23,9.26,10.28,11.31,12.33,13.36,14.38,15.40,16.43,17.45,18.47,
19,0.72,1.64,2.59,3.55,4.53,5.51,6.50,7.49,8.49,9.48,10.48,11.48,12.48,13.48,14.48,15.47,16.47,17.47,18.47
