i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.83,,,,,,,,,,,,,,,,,,,
2,10.27,11.32,,,,,,,,,,,,,,,,,,
3,9.70,10.76,11.45,,,,,,,,,,,,,,,,,
4,9.14,10.20,10.89,11.55,,,,,,,,,,,,,,,,
5,8.58,9.63,10.32,10.99,11.64,,,,,,,,,,,,,,,
6,8.01,9.07,9.76,10.42,11.07,11.71,,,,,,,,,,,,,,
7,7.45,8.50,9.19,9.86,10.51,11.14,11.77,,,,,,,,,,,,,
8,6.88,7.94,8.63,9.30,9.94,10.58,11.20,11.82,,,,,,,,,,,,
9,6.32,7.38,8.07,8.73,9.38,10.01,10.64,11.25,11.86,,,,,,,,,,,
10,5.76,6.81,7.50,8.17,8.82,9.45,10.07,10.69,11.30,11.90,,,,,,,,,,
11,5.19,6.25,6.94,7.60,8.25,8.89,9.51,10.13,10.73,11.34,11.93,,,,,,,,,
12,4.63,5.68,6.37,7.04,7.69,8.32,8.95,9.56,10.17,10.77,11.37,11.96,,,,,,,,
13,4.06,5.12,5.81,6.48,7.12,7.76,8.38,9.00,9.61,10.21,10.81,11.40,11.99,,,,,,,
14,3.50,4.56,5.25,5.91,6.56,7.19,7.82,8.43,9.04,9.64,10.24,10.84,11.42,12.01,,,,,,
15,2.94,3.99,4.68,5.35,6.00,6.63,7.25,7.87,8.48,9.08,9.68,10.27,10.86,11.45,12.03,,,,,
16,2.37,3.43,4.12,4.78,5.43,6.07,6.69,7.31,7.91,8.52,9.11,9.71,10.30,10.88,11.46,12.04,,,,
17,1.81,2.86,3.55,4.22,4.87,5.50,6.12,6.74,7.35,7.95,8.55,9.14,9.73,10.31,10.90,11.48,12.05,,,
18,1.25,2.29,2.98,3.64,4.29,4.92,5.54,6.16,6.76,7.36,7.96,8.55,9.14,9.73,10.31,10.89,11.46,12.04,,
19,0.65,1.68,2.35,2.99,3.62,4.23,4.84,5.44,6.04,6.63,7.22,7.80,8.38,8.96,9.53,10.10,10.67,11.24,11.80,
20,0.00,0.84,1.34,1.84,2.34,2.84,3.34,3.84,4.34,4.84,5.34,5.84,6.34,6.84,7.34,7.84,8.34,8.84,9.34,9.84
