i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,1.00,,,,,,,,,,,,,,,,,,
2,1.00,2.10,,,,,,,,,,,,,,,,,
3,1.00,2.10,3.08,,,,,,,,,,,,,,,,
4,1.00,2.10,3.08,4.09,,,,,,,,,,,,,,,
5,1.00,2.10,3.08,4.09,5.12,,,,,,,,,,,,,,
6,1.00,2.10,3.08,4.09,5.12,6.15,,,,,,,,,,,,,
7,1.00,2.10,3.08,4.09,5.12,6.15,7.19,,,,,,,,,,,,
8,1.00,2.10,3.08,4.09,5.12,6.15,7.19,8.22,,,,,,,,,,,
9,1.00,2.10,3.08,4.09,5.12,6.15,7.19,8.22,9.25,,,,,,,,,,
10,1.00,2.10,3.08,4.09,5.12,6.15,7.19,8.22,9.25,10.29,,,,,,,,,
11,1.00,2.10,3.08,4.09,5.12,6.15,7.19,8.22,9.25,10.29,11.32,,,,,,,,
12,1.00,2.10,3.08,4.09,5.12,6.15,7.19,8.22,9.25,10.29,11.32,12.35,,,,,,,
13,1.00,2.10,3.08,4.09,5.12,6.15,7.19,8.22,9.25,10.29,11.32,12.35,13.38,,,,,,
14,1.00,2.10,3.08,4.09,5.12,6.15,7.19,8.22,9.25,10.29,11.32,12.35,13.38,14.40,,,,,
15,1.00,2.10,3.07,4.09,5.12,6.15,7.19,8.22,9.25,10.29,11.32,12.35,13.38,14.40,15.43,,,,
16,0.99,2.10,3.07,4.09,5.12,6.15,7.18,8.22,9.25,10.28,11.32,12.34,13.37,14.40,15.43,16.45,,,
17,0.99,2.09,3.07,4.08,5.11,6.14,7.17,8.21,9.24,10.27,11.30,12.33,13.36,14.39,15.41,16.44,17.46,,
18,0.93,2.04,2.99,4.00,5.02,6.04,7.07,8.10,9.13,10.16,11.18,12.21,13.23,14.26,15.28,16.30,17.32,18.34,
19,0.66,1.55,2.49,3.44,4.42,5.40,6.38,7.37,8.37,9.36,10.36,11.36,12.36,13.36,14.35,15.35,16.35,17.35,18.35
