i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.92,,,,,,,,,,,,,,,,,,,
2,10.35,11.58,,,,,,,,,,,,,,,,,,
3,9.79,11.02,11.70,,,,,,,,,,,,,,,,,
4,9.22,10.45,11.14,11.79,,,,,,,,,,,,,,,,
5,8.66,9.89,10.57,11.23,11.87,,,,,,,,,,,,,,,
6,8.10,9.33,10.01,10.67,11.31,11.94,,,,,,,,,,,,,,
7,7.53,8.76,9.44,10.10,10.74,11.37,11.99,,,,,,,,,,,,,
8,6.97,8.20,8.88,9.54,10.18,10.81,11.43,12.04,,,,,,,,,,,,
9,6.40,7.63,8.32,8.97,9.61,10.24,10.86,11.48,12.08,,,,,,,,,,,
10,5.84,7.07,7.75,8.41,9.05,9.68,10.30,10.91,11.52,12.12,,,,,,,,,,
11,5.28,6.51,7.19,7.85,8.49,9.12,9.74,10.35,10.95,11.55,12.15,,,,,,,,,
12,4.71,5.94,6.62,7.28,7.92,8.55,9.17,9.78,10.39,10.99,11.58,12.18,,,,,,,,
13,4.15,5.38,6.06,6.72,7.36,7.99,8.61,9.22,9.83,10.43,11.02,11.61,12.20,,,,,,,
14,3.58,4.81,5.50,6.15,6.79,7.42,8.04,8.66,9.26,9.86,10.46,11.05,11.63,12.22,,,,,,
15,3.02,4.25,4.93,5.59,6.23,6.86,7.48,8.09,8.70,9.30,9.89,10.48,11.07,11.66,12.24,,,,,
16,2.46,3.69,4.37,5.03,5.67,6.30,6.92,7.53,8.13,8.73,9.33,9.92,10.51,11.09,11.67,12.25,,,,
17,1.89,3.12,3.80,4.46,5.10,5.73,6.35,6.96,7.57,8.17,8.76,9.35,9.94,10.52,11.10,11.68,12.26,,,
18,1.33,2.55,3.23,3.88,4.52,5.15,5.77,6.38,6.98,7.58,8.17,8.76,9.35,9.93,10.51,11.09,11.67,12.24,,
19,0.75,1.94,2.59,3.22,3.85,4.46,5.06,5.66,6.25,6.84,7.43,8.01,8.59,9.16,9.73,10.31,10.87,11.44,12.00,
20,0.00,1.02,1.52,2.02,2.52,3.02,3.52,4.02,4.52,5.02,5.52,6.02,6.52,7.02,7.52,8.02,8.52,9.02,9.52,10.02
