i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.87,,,,,,,,,,,,,,,,,,,
2,10.31,11.47,,,,,,,,,,,,,,,,,,
3,9.74,10.91,11.59,,,,,,,,,,,,,,,,,
4,9.18,10.35,11.03,11.69,,,,,,,,,,,,,,,,
5,8.62,9.78,10.47,11.13,11.77,,,,,,,,,,,,,,,
6,8.05,9.22,9.90,10.56,11.21,11.84,,,,,,,,,,,,,,
7,7.49,8.66,9.34,10.00,10.64,11.28,11.90,,,,,,,,,,,,,
8,6.93,8.09,8.78,9.44,10.08,10.71,11.33,11.95,,,,,,,,,,,,
9,6.36,7.53,8.22,8.88,9.52,10.15,10.77,11.38,11.99,,,,,,,,,,,
10,5.80,6.97,7.65,8.31,8.96,9.59,10.21,10.82,11.43,12.03,,,,,,,,,,
11,5.24,6.41,7.09,7.75,8.39,9.02,9.64,10.26,10.86,11.46,12.06,,,,,,,,,
12,4.68,5.84,6.53,7.19,7.83,8.46,9.08,9.69,10.30,10.90,11.50,12.09,,,,,,,,
13,4.11,5.28,5.96,6.62,7.27,7.90,8.52,9.13,9.74,10.34,10.93,11.52,12.11,,,,,,,
14,3.55,4.72,5.40,6.06,6.70,7.33,7.95,8.57,9.17,9.77,10.37,10.96,11.55,12.13,,,,,,
15,2.99,4.15,4.84,5.50,6.14,6.77,7.39,8.00,8.61,9.21,9.81,10.40,10.99,11.57,12.15,,,,,
16,2.42,3.59,4.27,4.93,5.58,6.21,6.83,7.44,8.05,8.65,9.24,9.83,10.42,11.01,11.59,12.17,,,,
17,1.86,3.03,3.71,4.37,5.01,5.64,6.26,6.88,7.48,8.08,8.68,9.27,9.86,10.44,11.02,11.60,12.18,,,
18,1.30,2.46,3.14,3.79,4.44,5.06,5.68,6.29,6.90,7.50,8.09,8.68,9.27,9.85,10.43,11.01,11.59,12.16,,
19,0.72,1.85,2.50,3.14,3.76,4.38,4.98,5.58,6.17,6.76,7.35,7.93,8.51,9.08,9.66,10.23,10.80,11.36,11.93,
20,0.00,0.95,1.45,1.95,2.45,2.95,3.45,3.95,4.45,4.95,5.45,5.95,6.45,6.95,7.45,7.95,8.45,8.95,9.45,9.95
