i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.61,,,,,,,,,,,,,,,,,,,
2,10.05,10.92,,,,,,,,,,,,,,,,,,
3,9.48,10.35,11.06,,,,,,,,,,,,,,,,,
4,8.92,9.79,10.49,11.17,,,,,,,,,,,,,,,,
5,8.36,9.23,9.93,10.61,11.27,,,,,,,,,,,,,,,
6,7.79,8.66,9.37,10.04,10.70,11.35,,,,,,,,,,,,,,
7,7.23,8.10,8.80,9.48,10.14,10.78,11.42,,,,,,,,,,,,,
8,6.66,7.53,8.24,8.92,9.58,10.22,10.85,11.48,,,,,,,,,,,,
9,6.10,6.97,7.67,8.35,9.01,9.66,10.29,10.91,11.53,,,,,,,,,,,
10,5.54,6.41,7.11,7.79,8.45,9.09,9.72,10.35,10.96,11.57,,,,,,,,,,
11,4.97,5.84,6.55,7.22,7.88,8.53,9.16,9.78,10.40,11.01,11.61,,,,,,,,,
12,4.41,5.28,5.98,6.66,7.32,7.96,8.60,9.22,9.83,10.44,11.04,11.64,,,,,,,,
13,3.84,4.71,5.42,6.10,6.76,7.40,8.03,8.66,9.27,9.88,10.48,11.08,11.67,,,,,,,
14,3.28,4.15,4.85,5.53,6.19,6.84,7.47,8.09,8.71,9.31,9.92,10.51,11.10,11.69,,,,,,
15,2.72,3.59,4.29,4.97,5.63,6.27,6.91,7.53,8.14,8.75,9.35,9.95,10.54,11.13,11.71,,,,,
16,2.15,3.02,3.73,4.40,5.06,5.71,6.34,6.96,7.58,8.19,8.79,9.38,9.98,10.56,11.15,11.73,,,,
17,1.59,2.46,3.16,3.84,4.50,5.14,5.77,6.40,7.01,7.62,8.22,8.82,9.41,10.00,10.58,11.16,11.74,,,
18,1.03,1.89,2.59,3.27,3.92,4.57,5.20,5.82,6.43,7.03,7.64,8.23,8.82,9.41,9.99,10.57,11.15,11.73,,
19,0.46,1.28,1.96,2.62,3.26,3.89,4.50,5.11,5.71,6.31,6.90,7.48,8.07,8.65,9.22,9.80,10.37,10.94,11.50,
20,0.00,0.59,1.09,1.59,2.09,2.59,3.09,3.59,4.09,4.59,5.09,5.59,6.09,6.59,7.09,7.59,8.09,8.59,9.09,9.59
