i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,1.72,,,,,,,,,,,,,,,,,,
2,1.72,2.74,,,,,,,,,,,,,,,,,
3,1.72,2.74,3.80,,,,,,,,,,,,,,,,
4,1.72,2.74,3.80,4.85,,,,,,,,,,,,,,,
5,1.72,2.74,3.80,4.85,5.90,,,,,,,,,,,,,,
6,1.72,2.74,3.80,4.85,5.90,6.93,,,,,,,,,,,,,
7,1.72,2.74,3.80,4.85,5.90,6.93,7.97,,,,,,,,,,,,
8,1.72,2.74,3.80,4.85,5.90,6.93,7.97,9.00,,,,,,,,,,,
9,1.72,2.74,3.80,4.85,5.90,6.93,7.97,9.00,10.03,,,,,,,,,,
10,1.72,2.74,3.80,4.85,5.90,6.93,7.97,9.00,10.03,11.06,,,,,,,,,
11,1.72,2.74,3.80,4.85,5.90,6.93,7.97,9.00,10.03,11.06,12.09,,,,,,,,
12,1.72,2.74,3.80,4.85,5.90,6.93,7.97,9.00,10.03,11.06,12.09,13.12,,,,,,,
13,1.72,2.74,3.80,4.85,5.90,6.93,7.97,9.00,10.03,11.06,12.09,13.12,14.14,,,,,,
14,1.72,2.74,3.80,4.85,5.90,6.93,7.97,9.00,10.03,11.06,12.09,13.12,14.14,15.16,,,,,
15,1.72,2.74,3.80,4.85,5.90,6.93,7.97,9.00,10.03,11.06,12.09,13.12,14.14,15.16,16.19,,,,
16,1.71,2.74,3.80,4.85,5.89,6.93,7.97,9.00,10.03,11.06,12.09,13.11,14.14,15.16,16.18,17.21,,,
17,1.71,2.73,3.79,4.84,5.88,6.92,7.96,8.99,10.02,11.05,12.07,13.10,14.12,15.15,16.17,17.19,18.21,,
18,1.66,2.65,3.70,4.74,5.78,6.82,7.85,8.87,9.90,10.93,11.95,12.97,13.99,15.02,16.04,17.06,18.07,19.09,
19,1.21,2.19,3.17,4.15,5.13,6.12,7.11,8.11,9.10,10.10,11.09,12.09,13.09,14.09,15.08,16.08,17.08,18.08,19.08
