i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.81,,,,,,,,,,,,,,,,,,,
2,10.24,11.25,,,,,,,,,,,,,,,,,,
3,9.68,10.69,11.38,,,,,,,,,,,,,,,,,
4,9.11,10.12,10.82,11.48,,,,,,,,,,,,,,,,
5,8.55,9.56,10.25,10.92,11.57,,,,,,,,,,,,,,,
6,7.99,8.99,9.69,10.36,11.01,11.64,,,,,,,,,,,,,,
7,7.42,8.43,9.12,9.79,10.44,11.08,11.70,,,,,,,,,,,,,
8,6.86,7.87,8.56,9.23,9.88,10.51,11.14,11.76,,,,,,,,,,,,
9,6.30,7.30,8.00,8.66,9.31,9.95,10.58,11.19,11.80,,,,,,,,,,,
10,5.73,6.74,7.43,8.10,8.75,9.39,10.01,10.63,11.24,11.84,,,,,,,,,,
11,5.17,6.17,6.87,7.54,8.19,8.82,9.45,10.06,10.67,11.28,11.88,,,,,,,,,
12,4.60,5.61,6.30,6.97,7.62,8.26,8.88,9.50,10.11,10.71,11.31,11.90,,,,,,,,
13,4.04,5.05,5.74,6.41,7.06,7.69,8.32,8.94,9.55,10.15,10.75,11.34,11.93,,,,,,,
14,3.48,4.48,5.18,5.85,6.49,7.13,7.76,8.37,8.98,9.59,10.18,10.78,11.37,11.95,,,,,,
15,2.91,3.92,4.61,5.28,5.93,6.57,7.19,7.81,8.42,9.02,9.62,10.21,10.80,11.39,11.97,,,,,
16,2.35,3.36,4.05,4.72,5.37,6.00,6.63,7.24,7.85,8.46,9.05,9.65,10.24,10.82,11.41,11.99,,,,
17,1.78,2.79,3.48,4.15,4.80,5.44,6.06,6.68,7.29,7.89,8.49,9.08,9.67,10.26,10.84,11.42,12.00,,,
18,1.23,2.22,2.91,3.58,4.22,4.86,5.48,6.10,6.70,7.31,7.90,8.49,9.08,9.67,10.25,10.83,11.41,11.98,,
19,0.62,1.61,2.28,2.92,3.55,4.17,4.78,5.38,5.98,6.57,7.16,7.74,8.32,8.90,9.47,10.05,10.62,11.18,11.75,
20,0.00,0.79,1.29,1.79,2.29,2.79,3.29,3.79,4.29,4.79,5.29,5.79,6.29,6.79,7.29,7.79,8.29,8.79,9.29,9.79
