i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.69,,,,,,,,,,,,,,,,,,,
2,10.13,11.03,,,,,,,,,,,,,,,,,,
3,9.56,10.47,11.17,,,,,,,,,,,,,,,,,
4,9.00,9.91,10.61,11.28,,,,,,,,,,,,,,,,
5,8.43,9.34,10.04,10.72,11.37,,,,,,,,,,,,,,,
6,7.87,8.78,9.48,10.15,10.81,11.45,,,,,,,,,,,,,,
7,7.31,8.21,8.91,9.59,10.25,10.89,11.52,,,,,,,,,,,,,
8,6.74,7.65,8.35,9.03,9.68,10.32,10.95,11.57,,,,,,,,,,,,
9,6.18,7.09,7.79,8.46,9.12,9.76,10.39,11.01,11.62,,,,,,,,,,,
10,5.61,6.52,7.22,7.90,8.55,9.20,9.82,10.45,11.06,11.66,,,,,,,,,,
11,5.05,5.96,6.66,7.33,7.99,8.63,9.26,9.88,10.49,11.10,11.70,,,,,,,,,
12,4.49,5.39,6.09,6.77,7.43,8.07,8.70,9.32,9.93,10.54,11.14,11.73,,,,,,,,
13,3.92,4.83,5.53,6.21,6.86,7.50,8.13,8.75,9.37,9.97,10.57,11.17,11.76,,,,,,,
14,3.36,4.27,4.97,5.64,6.30,6.94,7.57,8.19,8.80,9.41,10.01,10.60,11.20,11.78,,,,,,
15,2.79,3.70,4.40,5.08,5.73,6.38,7.01,7.63,8.24,8.84,9.44,10.04,10.63,11.22,11.80,,,,,
16,2.23,3.14,3.84,4.51,5.17,5.81,6.44,7.06,7.67,8.28,8.88,9.48,10.07,10.65,11.24,11.82,,,,
17,1.67,2.57,3.27,3.95,4.60,5.24,5.87,6.49,7.11,7.71,8.31,8.91,9.50,10.09,10.67,11.25,11.83,,,
18,1.11,2.01,2.70,3.38,4.03,4.67,5.29,5.91,6.52,7.13,7.73,8.32,8.91,9.50,10.08,10.66,11.24,11.82,,
19,0.51,1.40,2.07,2.73,3.36,3.99,4.60,5.21,5.81,6.40,6.99,7.57,8.16,8.73,9.31,9.88,10.45,11.02,11.59,
20,0.00,0.66,1.16,1.66,2.16,2.66,3.16,3.66,4.16,4.66,5.16,5.66,6.16,6.66,7.16,7.66,8.16,8.66,9.16,9.66
