i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,6.40,,,,,,,,,,,,,,,,,,,
2,6.06,6.74,,,,,,,,,,,,,,,,,,
3,5.72,6.39,7.20,,,,,,,,,,,,,,,,,
4,5.38,6.05,6.86,7.65,,,,,,,,,,,,,,,,
5,5.04,5.71,6.52,7.31,8.08,,,,,,,,,,,,,,,
6,4.70,5.37,6.18,6.96,7.74,8.51,,,,,,,,,,,,,,
7,4.36,5.03,5.84,6.62,7.40,8.17,8.93,,,,,,,,,,,,,
8,4.02,4.69,5.49,6.28,7.06,7.83,8.59,9.35,,,,,,,,,,,,
9,3.67,4.35,5.15,5.94,6.72,7.48,8.25,9.00,9.76,,,,,,,,,,,
10,3.33,4.00,4.81,5.60,6.38,7.14,7.91,8.66,9.42,10.17,,,,,,,,,,
11,2.99,3.66,4.47,5.26,6.03,6.80,7.56,8.32,9.08,9.83,10.57,,,,,,,,,
12,2.65,3.32,4.13,4.92,5.69,6.46,7.22,7.98,8.73,9.49,10.23,10.98,,,,,,,,
13,2.31,2.98,3.79,4.58,5.35,6.12,6.88,7.64,8.39,9.14,9.89,10.64,11.38,,,,,,,
14,1.97,2.64,3.45,4.23,5.01,5.78,6.54,7.30,8.05,8.80,9.55,10.30,11.04,11.78,,,,,,
15,1.63,2.30,3.11,3.89,4.67,5.44,6.20,6.96,7.71,8.46,9.21,9.96,10.70,11.44,12.18,,,,,
16,1.29,1.96,2.76,3.55,4.33,5.10,5.86,6.62,7.37,8.12,8.87,9.61,10.36,11.10,11.84,12.58,,,,
17,0.94,1.62,2.42,3.21,3.99,4.75,5.52,6.27,7.03,7.78,8.53,9.27,10.02,10.76,11.50,12.24,12.98,,,
18,0.60,1.27,2.08,2.87,3.64,4.41,5.17,5.93,6.69,7.44,8.18,8.93,9.67,10.42,11.16,11.90,12.63,13.37,,
19,0.26,0.93,1.73,2.51,3.29,4.05,4.81,5.57,6.32,7.07,7.81,8.56,9.30,10.04,10.78,11.52,12.25,12.99,13.72,
20,0.00,0.52,1.22,1.92,2.62,3.32,4.02,4.72,5.42,6.12,6.82,7.52,8.22,8.92,9.62,10.32,11.02,11.72,12.42,13.12
