i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,5.78,,,,,,,,,,,,,,,,,,,
2,5.47,6.33,,,,,,,,,,,,,,,,,,
3,5.17,6.02,6.91,,,,,,,,,,,,,,,,,
4,4.86,5.72,6.60,7.47,,,,,,,,,,,,,,,,
5,4.56,5.41,6.30,7.17,8.03,,,,,,,,,,,,,,,
6,4.25,5.10,5.99,6.86,7.72,8.58,,,,,,,,,,,,,,
7,3.95,4.80,5.68,6.56,7.42,8.27,9.13,,,,,,,,,,,,,
8,3.64,4.49,5.38,6.25,7.11,7.97,8.82,9.67,,,,,,,,,,,,
9,3.33,4.19,5.07,5.94,6.81,7.66,8.51,9.36,10.21,,,,,,,,,,,
10,3.03,3.88,4.77,5.64,6.50,7.36,8.21,9.06,9.90,10.74,,,,,,,,,,
11,2.72,3.57,4.46,5.33,6.20,7.05,7.90,8.75,9.60,10.44,11.28,,,,,,,,,
12,2.42,3.27,4.16,5.03,5.89,6.75,7.60,8.44,9.29,10.13,10.97,11.81,,,,,,,,
13,2.11,2.96,3.85,4.72,5.58,6.44,7.29,8.14,8.98,9.83,10.67,11.50,12.34,,,,,,,
14,1.80,2.66,3.54,4.42,5.28,6.13,6.99,7.83,8.68,9.52,10.36,11.20,12.04,12.87,,,,,,
15,1.50,2.35,3.24,4.11,4.97,5.83,6.68,7.53,8.37,9.21,10.05,10.89,11.73,12.56,13.40,,,,,
16,1.19,2.05,2.93,3.80,4.67,5.52,6.37,7.22,8.07,8.91,9.75,10.59,11.42,12.26,13.09,13.93,,,,
17,0.89,1.74,2.63,3.50,4.36,5.22,6.07,6.92,7.76,8.60,9.44,10.28,11.12,11.95,12.79,13.62,14.45,,,
18,0.58,1.43,2.32,3.19,4.05,4.91,5.76,6.61,7.45,8.30,9.14,9.97,10.81,11.65,12.48,13.31,14.15,14.98,,
19,0.28,1.12,2.01,2.88,3.74,4.59,5.44,6.29,7.13,7.97,8.81,9.65,10.49,11.32,12.15,12.99,13.82,14.65,15.48,
20,0.00,0.73,1.53,2.33,3.13,3.93,4.73,5.53,6.33,7.13,7.93,8.73,9.53,10.33,11.13,11.93,12.73,13.53,14.33,15.13
