i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,2.54,,,,,,,,,,,,,,,,,,
2,2.54,3.97,,,,,,,,,,,,,,,,,
3,2.54,3.97,5.37,,,,,,,,,,,,,,,,
4,2.54,3.97,5.37,6.72,,,,,,,,,,,,,,,
5,2.54,3.97,5.37,6.72,8.03,,,,,,,,,,,,,,
6,2.54,3.97,5.37,6.72,8.03,9.31,,,,,,,,,,,,,
7,2.54,3.97,5.37,6.72,8.03,9.31,10.56,,,,,,,,,,,,
8,2.54,3.97,5.37,6.72,8.03,9.31,10.56,11.79,,,,,,,,,,,
9,2.54,3.97,5.37,6.72,8.03,9.31,10.56,11.79,13.01,,,,,,,,,,
10,2.54,3.97,5.37,6.72,8.03,9.31,10.56,11.79,13.01,14.22,,,,,,,,,
11,2.54,3.97,5.37,6.72,8.03,9.31,10.56,11.79,13.01,14.22,15.42,,,,,,,,
12,2.54,3.97,5.37,6.72,8.03,9.31,10.56,11.79,13.01,14.22,15.42,16.61,,,,,,,
13,2.54,3.97,5.37,6.72,8.03,9.31,10.56,11.79,13.01,14.22,15.42,16.61,17.79,,,,,,
14,2.54,3.97,5.37,6.72,8.03,9.31,10.56,11.79,13.01,14.22,15.42,16.61,17.79,18.96,,,,,
15,2.54,3.97,5.37,6.72,8.03,9.31,10.56,11.79,13.01,14.22,15.42,16.61,17.79,18.96,20.12,,,,
16,2.54,3.97,5.37,6.72,8.03,9.31,10.56,11.79,13.01,14.22,15.42,16.61,17.79,18.96,20.12,21.28,,,
17,2.54,3.97,5.37,6.72,8.03,9.31,10.56,11.79,13.01,14.22,15.42,16.60,17.78,18.96,20.12,21.28,22.44,,
18,2.55,3.97,5.37,6.72,8.03,9.30,10.56,11.79,13.01,14.21,15.41,16.60,17.78,18.95,20.12,21.27,22.43,23.58,
19,2.18,3.64,5.01,6.34,7.62,8.87,10.11,11.32,12.53,13.72,14.90,16.08,17.25,18.41,19.56,20.71,21.85,22.99,24.13
