i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,2.33,,,,,,,,,,,,,,,,,,
2,2.33,3.75,,,,,,,,,,,,,,,,,
3,2.33,3.75,5.11,,,,,,,,,,,,,,,,
4,2.33,3.75,5.11,6.42,,,,,,,,,,,,,,,
5,2.33,3.75,5.11,6.42,7.70,,,,,,,,,,,,,,
6,2.33,3.75,5.11,6.42,7.70,8.94,,,,,,,,,,,,,
7,2.33,3.75,5.11,6.42,7.70,8.94,10.16,,,,,,,,,,,,
8,2.33,3.75,5.11,6.42,7.70,8.94,10.16,11.38,,,,,,,,,,,
9,2.33,3.75,5.11,6.42,7.70,8.94,10.16,11.38,12.56,,,,,,,,,,
10,2.33,3.75,5.11,6.42,7.70,8.94,10.16,11.38,12.56,13.76,,,,,,,,,
11,2.33,3.75,5.11,6.42,7.70,8.94,10.16,11.38,12.56,13.76,14.93,,,,,,,,
12,2.33,3.75,5.11,6.42,7.70,8.94,10.16,11.38,12.56,13.76,14.93,16.09,,,,,,,
13,2.33,3.75,5.11,6.42,7.70,8.94,10.16,11.38,12.56,13.76,14.93,16.09,17.25,,,,,,
14,2.33,3.75,5.11,6.42,7.70,8.94,10.16,11.38,12.56,13.76,14.93,16.09,17.25,18.41,,,,,
15,2.33,3.75,5.11,6.42,7.70,8.94,10.16,11.38,12.56,13.76,14.93,16.09,17.25,18.41,19.55,,,,
16,2.33,3.75,5.11,6.42,7.70,8.94,10.16,11.38,12.56,13.76,14.93,16.09,17.25,18.41,19.55,20.70,,,
17,2.33,3.74,5.11,6.42,7.69,8.94,10.16,11.38,12.56,13.75,14.93,16.09,17.25,18.41,19.55,20.70,21.83,,
18,2.33,3.75,5.11,6.42,7.68,8.94,10.15,11.37,12.56,13.74,14.92,16.09,17.25,18.40,19.55,20.69,21.83,22.96,
19,2.06,3.48,4.82,6.11,7.37,8.59,9.79,10.99,12.18,13.35,14.51,15.66,16.82,17.96,19.10,20.23,21.36,22.49,23.61
