i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,1.77,,,,,,,,,,,,,,,,,,
2,1.77,3.30,,,,,,,,,,,,,,,,,
3,1.77,3.30,4.65,,,,,,,,,,,,,,,,
4,1.77,3.30,4.65,5.96,,,,,,,,,,,,,,,
5,1.77,3.30,4.65,5.96,7.24,,,,,,,,,,,,,,
6,1.77,3.30,4.65,5.96,7.24,8.49,,,,,,,,,,,,,
7,1.77,3.30,4.65,5.96,7.24,8.49,9.72,,,,,,,,,,,,
8,1.77,3.30,4.65,5.96,7.24,8.49,9.72,10.94,,,,,,,,,,,
9,1.77,3.30,4.65,5.96,7.24,8.49,9.72,10.94,12.13,,,,,,,,,,
10,1.77,3.30,4.65,5.96,7.24,8.49,9.72,10.94,12.13,13.32,,,,,,,,,
11,1.77,3.30,4.65,5.96,7.24,8.49,9.72,10.94,12.13,13.32,14.50,,,,,,,,
12,1.77,3.30,4.65,5.96,7.24,8.49,9.72,10.94,12.13,13.32,14.50,15.67,,,,,,,
13,1.77,3.30,4.65,5.96,7.24,8.49,9.72,10.94,12.13,13.32,14.50,15.67,16.83,,,,,,
14,1.77,3.30,4.65,5.96,7.24,8.49,9.72,10.94,12.13,13.32,14.50,15.67,16.83,17.98,,,,,
15,1.77,3.30,4.65,5.96,7.24,8.49,9.72,10.94,12.13,13.32,14.50,15.67,16.83,17.98,19.13,,,,
16,1.77,3.30,4.65,5.96,7.24,8.49,9.72,10.94,12.13,13.32,14.50,15.67,16.83,17.98,19.13,20.27,,,
17,1.77,3.30,4.65,5.96,7.24,8.49,9.72,10.93,12.13,13.32,14.50,15.67,16.83,17.98,19.13,20.27,21.41,,
18,1.77,3.30,4.65,5.96,7.24,8.49,9.72,10.93,12.13,13.32,14.49,15.66,16.82,17.97,19.12,20.26,21.40,22.53,
19,1.56,3.01,4.36,5.66,6.93,8.16,9.38,10.58,11.76,12.94,14.10,15.26,16.41,17.55,18.69,19.83,20.96,22.08,23.20
