i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,2.71,,,,,,,,,,,,,,,,,,,
2,2.56,3.00,,,,,,,,,,,,,,,,,,
3,2.42,2.85,3.70,,,,,,,,,,,,,,,,,
4,2.28,2.71,3.55,4.39,,,,,,,,,,,,,,,,
5,2.13,2.57,3.41,4.25,5.08,,,,,,,,,,,,,,,
6,1.99,2.42,3.27,4.10,4.93,5.76,,,,,,,,,,,,,,
7,1.84,2.28,3.12,3.96,4.79,5.62,6.44,,,,,,,,,,,,,
8,1.70,2.14,2.98,3.81,4.65,5.47,6.30,7.12,,,,,,,,,,,,
9,1.56,1.99,2.83,3.67,4.50,5.33,6.16,6.98,7.80,,,,,,,,,,,
10,1.41,1.85,2.69,3.53,4.36,5.19,6.01,6.84,7.66,8.48,,,,,,,,,,
11,1.27,1.70,2.55,3.38,4.21,5.04,5.87,6.69,7.51,8.33,9.16,,,,,,,,,
12,1.13,1.56,2.40,3.24,4.07,4.90,5.72,6.55,7.37,8.19,9.01,9.85,,,,,,,,
13,0.98,1.42,2.26,3.10,3.93,4.75,5.58,6.40,7.23,8.05,8.87,9.71,10.67,,,,,,,
14,0.84,1.27,2.12,2.95,3.78,4.61,5.44,6.26,7.08,7.90,8.72,9.57,10.53,10.65,,,,,,
15,0.70,1.13,1.97,2.81,3.64,4.47,5.29,6.12,6.94,7.76,8.58,9.42,10.39,10.62,-7.31,,,,,
16,0.55,0.99,1.83,2.66,3.50,4.32,5.15,5.97,6.80,7.62,8.44,9.28,10.25,10.59,-4.02,-35.98,,,,
17,0.41,0.84,1.69,2.52,3.35,4.18,5.01,5.83,6.65,7.47,8.29,9.14,10.11,10.56,-0.73,-23.84,-89.77,,,
18,0.26,0.70,1.54,2.38,3.21,4.04,4.86,5.69,6.51,7.33,8.15,8.99,9.97,10.53,2.57,-11.67,-36.73,-64257.88,,
19,0.12,0.55,1.40,2.23,3.06,3.89,4.71,5.54,6.36,7.18,8.00,8.84,9.84,10.56,7.46,5.76,-3006.73,-28085.20,-2838856.13,
20,0.00,0.37,1.17,1.97,2.77,3.57,4.37,5.17,5.97,6.77,7.57,8.37,9.17,9.97,10.77,11.57,12.37,13.17,13.97,14.77
