i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,8.79,,,,,,,,,,,,,,,,,,,
2,8.33,8.98,,,,,,,,,,,,,,,,,,
3,7.86,8.51,8.98,,,,,,,,,,,,,,,,,
4,7.39,8.05,8.52,8.98,,,,,,,,,,,,,,,,
5,6.93,7.58,8.05,8.51,8.95,,,,,,,,,,,,,,,
6,6.46,7.11,7.58,8.04,8.48,8.91,,,,,,,,,,,,,,
7,5.99,6.64,7.12,7.57,8.02,8.45,8.86,,,,,,,,,,,,,
8,5.52,6.18,6.65,7.11,7.55,7.98,8.40,8.81,,,,,,,,,,,,
9,5.06,5.71,6.18,6.64,7.08,7.51,7.93,8.34,8.75,,,,,,,,,,,
10,4.59,5.24,5.71,6.17,6.62,7.04,7.46,7.87,8.28,8.68,,,,,,,,,,
11,4.12,4.78,5.25,5.71,6.15,6.58,7.00,7.41,7.81,8.21,8.60,,,,,,,,,
12,3.66,4.31,4.78,5.24,5.68,6.11,6.53,6.94,7.34,7.74,8.14,8.52,,,,,,,,
13,3.19,3.84,4.31,4.77,5.21,5.64,6.06,6.47,6.88,7.28,7.67,8.06,8.44,,,,,,,
14,2.72,3.38,3.85,4.31,4.75,5.18,5.60,6.01,6.41,6.81,7.20,7.59,7.97,8.36,,,,,,
15,2.26,2.91,3.38,3.84,4.28,4.71,5.13,5.54,5.94,6.34,6.73,7.12,7.51,7.89,8.27,,,,,
16,1.79,2.44,2.91,3.37,3.81,4.24,4.66,5.07,5.47,5.87,6.26,6.65,7.04,7.42,7.80,8.17,,,,
17,1.32,1.97,2.44,2.90,3.34,3.77,4.18,4.59,5.00,5.39,5.79,6.17,6.56,6.94,7.32,7.69,8.07,,,
18,0.85,1.50,1.96,2.41,2.84,3.27,3.68,4.09,4.49,4.88,5.27,5.66,6.04,6.42,6.79,7.16,7.54,7.90,,
19,0.38,0.98,1.42,1.84,2.25,2.65,3.05,3.43,3.82,4.20,4.57,4.94,5.31,5.68,6.05,6.41,6.77,7.13,7.48,
20,0.00,0.43,0.73,1.03,1.33,1.63,1.93,2.23,2.53,2.83,3.13,3.43,3.73,4.03,4.33,4.63,4.93,5.23,5.53,5.83
