i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,0.47,,,,,,,,,,,,,,,,,,
2,0.47,1.32,,,,,,,,,,,,,,,,,
3,0.47,1.32,2.23,,,,,,,,,,,,,,,,
4,0.47,1.32,2.23,3.13,,,,,,,,,,,,,,,
5,0.47,1.32,2.23,3.13,4.06,,,,,,,,,,,,,,
6,0.47,1.32,2.23,3.13,4.06,4.99,,,,,,,,,,,,,
7,0.47,1.32,2.23,3.13,4.06,4.99,5.92,,,,,,,,,,,,
8,0.47,1.32,2.23,3.13,4.06,4.99,5.92,6.86,,,,,,,,,,,
9,0.47,1.32,2.23,3.13,4.06,4.99,5.92,6.86,7.80,,,,,,,,,,
10,0.47,1.32,2.23,3.13,4.06,4.99,5.92,6.86,7.80,8.74,,,,,,,,,
11,0.47,1.32,2.23,3.13,4.06,4.99,5.92,6.86,7.80,8.74,9.69,,,,,,,,
12,0.47,1.32,2.23,3.13,4.06,4.99,5.92,6.86,7.80,8.74,9.69,10.63,,,,,,,
13,0.47,1.32,2.23,3.13,4.06,4.99,5.92,6.86,7.80,8.74,9.69,10.63,11.59,,,,,,
14,0.47,1.32,2.23,3.13,4.06,4.99,5.92,6.86,7.80,8.74,9.69,10.63,11.59,12.54,,,,,
15,0.47,1.32,2.23,3.13,4.06,4.99,5.92,6.86,7.80,8.74,9.69,10.63,11.59,12.54,13.49,,,,
16,0.47,1.32,2.23,3.13,4.05,4.99,5.92,6.86,7.79,8.74,9.69,10.63,11.59,12.54,13.49,14.45,,,
17,0.46,1.31,2.21,3.12,4.04,4.97,5.91,6.84,7.79,8.73,9.68,10.62,11.57,12.52,13.47,14.43,15.38,,
18,0.44,1.28,2.17,3.08,3.99,4.92,5.84,6.78,7.71,8.65,9.60,10.54,11.49,12.44,13.39,14.34,15.29,16.25,
19,0.33,1.08,1.92,2.79,3.67,4.56,5.46,6.38,7.29,8.21,9.14,10.07,11.00,11.94,12.87,13.81,14.75,15.70,16.64
